ArticleNumber;Size;Quantity
232327;XS;1
232327;S;1
232327;M;1
232327;L;1
232327;XL;1
232327;FOURXL;1
674506;XS;1
532359;XS;1
532359;S;1
199733;XS;1
287481;S;1
287481;XL;1
298489;S;1
495526;S;1
680901;XS;1
603483;XS;1
666968;L;1
675691;XS;1
511049;S;1
447813;XS;1
667887;XS;1
670846;40/42;1
670846;44/46;1
670846;48/50;1
624965;S;1
624965;M;1
624965;L;1
624965;XXL;1
624965;XS;1
405376;XS;1
405376;S;1
398071;40/42;1
624913;XS;1
624913;S;1
671477;XS;1
671477;S;1
619647;XS;1
619647;S;1
619647;L;1
838913;30;1
801749;33;1
685135;31;1
854788;31;1
806864;34;1
604137;94;1
674231;32;1
674231;33;1
674231;34;1
674231;36;1
674231;38;1
804511;27;1
804511;28;1
715636;30;1
869765;30;1
783122;31;1
804580;50;1
804580;52;1
512958;32;1
521975;29;1
521975;30;1
521975;31;1
521975;32;1
623544;30;1
623544;31;1
623544;32;1
623544;33;1
461994;94;1
461994;106;1
221653;30;1
221653;31;1
371982;30;1
371982;31;1
508173;26;1
508173;28;1
765945;98;1
765945;102;1
828984;24;1
828984;25;1
828984;28;1
828984;29;1
584123;44;1
297936;25;1
297936;26;1
320770;S;1
320770;M;1
562677;Stuck;1
436154;24;1
436154;25;1
436154;26;1
436154;27;1
436154;28;1
436154;29;1
436154;30;1
445238;XS;1
445238;S;1
445238;M;1
445238;L;1
445238;XL;1
445238;XXL;1
445238;XXXL;1
685925;XS;1
669742;S;1
669742;M;1
669742;L;1
669742;XL;1
669742;XXXL;1
296693;88;1
296693;90;1
296693;98;1
547820;XS;1
547820;S;1
235878;S;1
235878;M;1
235878;L;1
235878;XXL;1
328602;XS;1
152521;;1
721456;31;1
741707;30;1
824583;38;1
410158;46;1
366107;XS;1
366107;S;1
427737;94;1
427737;106;1
624136;33;1
624136;34;1
624136;30;1
624177;30;1
825223;38;1
259285;27;1
259285;28;1
259285;29;1
259285;24;1
259285;25;1
259285;26;1
192869;29;1
192869;30;1
205293;30;1
205293;34;1
803532;30;1
298750;30;1
298750;31;1
298750;32;1
804136;30;1
804136;31;1
804136;32;1
603026;48;1
603026;52;1
339215;29;1
339215;30;1
593263;32;1
217194;52;1
217194;62;1
170155;29;1
499998;29;1
499998;30;1
499998;31;1
499998;32;1
499998;36;1
823487;98;1
823487;106;1
562177;30;1
562177;31;1
562177;32;1
562177;38;1
294931;98;1
294931;90;1
294931;94;1
864264;98;1
295229;88;1
295229;90;1
295229;94;1
295229;98;1
295229;102;1
295229;106;1
296423;48;1
296423;50;1
296423;52;1
296423;44;1
296423;46;1
532235;S;1
204391;S;1
295218;88;1
295218;90;1
295218;94;1
295218;106;1
295218;110;1
669899;XS;1
669899;L;1
690452;26;1
690452;30;1
821930;27;1
821930;28;1
821930;29;1
821930;30;1
821930;24;1
821930;25;1
821930;26;1
428419;35/36;1
428419;37/38;1
203167;XS;1
203167;S;1
670217;XS;1
237623;26;1
237623;27;1
237623;88;1
237623;98;1
237623;102;1
295246;24;1
295246;25;1
673920;S;1
767860;S;1
787221;88;1
787221;90;1
787221;94;1
787221;102;1
746552;S;1
555721;35/36;1
555721;37/38;1
555721;39/40;1
555721;45;1
585362;XS;1
585362;S;1
585362;M;1
295448;44;1
295456;94;1
295456;88;1
295456;90;1
467823;XS;1
547209;XS;1
547209;S;1
787656;S;1
845673;29;1
670375;XS;1
670375;S;1
199992;XS;1
669747;XS;1
669747;M;1
763679;XS;1
378305;40/42;1
378305;44/46;1
378305;36/38;1
291872;36;1
291872;38;1
291872;40;1
291872;42;1
291872;44;1
204530;36/38;1
204530;40/42;1
204530;44/46;1
116427;36/38;1
17687;34;1
17687;40;1
727801;17;1
727801;18;1
727801;19;1
727801;20;1
727801;21;1
727801;72;1
727801;76;1
361177;;1
34651;34;1
34651;36;1
169705;40;1
169705;42;1
393919;32/34;1
662391;42;1
662391;44;1
662391;46;1
662391;48;1
67258;34;1
67258;36;1
67258;38;1
814785;48/50;1
814785;52/54;1
675127;32/34;1
675127;36/38;1
804581;32/34;1
804581;36/38;1
849297;36;1
849297;38;1
40711;34;1
40711;36;1
40711;38;1
40711;40;1
43126;34;1
43126;36;1
43126;38;1
78459;46;1
78459;36;1
78459;40;1
78459;42;1
78459;44;1
82839;36;1
82839;38;1
88254;36;1
88254;38;1
15567;36;1
15567;38;1
15567;40;1
15567;42;1
101205;34;1
101205;36;1
154204;32/34;1
154204;36/38;1
2152;38;1
2152;42;1
35221;34;1
35221;38;1
375766;32/34;1
375766;36/38;1
416273;40;1
416273;42;1
416273;44;1
678542;32;1
69286;34;1
69286;36;1
69286;40;1
707303;32;1
807707;32;1
807707;34;1
817757;32/34;1
848975;32;1
848975;34;1
848975;36;1
861463;34;1
861463;36;1
97193;34;1
294671;40;1
294671;44;1
3665;34;1
3665;36;1
529059;34;1
529059;36;1
529059;38;1
529059;40;1
529059;44;1
712215;36/38;1
199986;40/42;1
410338;32/34;1
410338;36/38;1
428310;32/34;1
428310;36/38;1
472481;36;1
472481;38;1
472481;40;1
19922;34;1
19922;36;1
19922;42;1
117352;34;1
117352;42;1
121929;38;1
121929;40;1
121929;44;1
121929;46;1
604826;32/34;1
2065;36;1
249971;32/34;1
249971;36/38;1
6107;34;1
790218;32;1
722615;36;1
722615;38;1
269850;34;1
269850;36;1
269850;38;1
269850;40;1
380998;32;1
380998;36;1
380998;38;1
859201;32;1
859201;40;1
95301;38;1
95301;40;1
95301;36;1
120122;36/38;1
120122;40/42;1
120122;44/46;1
21213;34;1
21213;36;1
21213;38;1
21213;40;1
21213;42;1
21213;44;1
289131;44;1
289131;46;1
289131;34;1
289131;36;1
289131;38;1
289131;40;1
289131;42;1
32909;34;1
32909;36;1
32909;38;1
32909;42;1
35096;34;1
35096;40;1
35096;42;1
396534;40/42;1
396534;44/46;1
409002;40;1
409002;38;1
410309;36/38;1
427776;36;1
427776;38;1
428398;34;1
428398;36;1
428398;38;1
428398;40;1
428398;42;1
45568;36;1
45568;38;1
45568;40;1
45568;42;1
45568;44;1
45568;46;1
501043;32;1
501043;34;1
501043;36;1
501043;38;1
545934;44/46;1
545934;48/50;1
56683;40;1
56683;44;1
593483;34;1
593483;36;1
593483;38;1
593483;40;1
600720;36;1
600720;38;1
600720;40;1
651531;34;1
651531;36;1
658420;44;1
658420;46;1
658420;36;1
658420;38;1
658420;40;1
658420;42;1
6702;36;1
6702;38;1
6702;40;1
6702;42;1
675129;32/34;1
675129;36/38;1
684217;34;1
684217;36;1
69058;38;1
69058;40;1
69058;42;1
69058;44;1
69058;46;1
758443;34;1
758443;36;1
758443;38;1
764184;34;1
764184;36;1
764184;38;1
764184;40;1
803478;32/34;1
